#,Tracker,Status,Priority,Subject,Assignee,Updated,Description,Last notes
19603,??????,?????,??????????,"?????????? UA ??????????? ??????? ""????? ?????""",Sabina Vorotnikova,02/10/2023 05:19 AM,"*???? ???????????????:*
1) ??????? ??????? ???????? ????? https://qwertyshop.ua
2) ??????? UA ??????????? ????? ? ???????
3) ?????????? ???????? ? ?????
4) ????? ?????? ""???i??? ??????"" ? ??????
5) ?????? ?? ?????? ""????? ?????""
6) ?????????? ?????? ?????????? UA ??????????? ??????? ""????? ?????""

https://gyazo.com/77ae62cc2109fd1a96a7c426e418323a

*????????? ?????????:* ???????????? UA ??????????? ??????? ""????? ?????""
*??????????? ?????????:* ?????? ?????????? UA ??????????? ??????? ""????? ?????""",""
19602,??????,?????,??????????,"?????????? ????????? ??????????? ? ??????? "" ????????""",Sabina Vorotnikova,02/10/2023 05:08 AM,"*???? ???????????????:*
1) ??????? ??????? ???????? ????? https://qwertyshop.ua
2) ??????? UA ??????????? ????? ? ???????
4) ?????? ?? ?????? ""????????"" ? ???????
4) ?????????? ????????? ?????????? UA ??????????? ??????? ""????????""

https://gyazo.com/2e6f73f27648425a8d418e039b282c4d

*????????? ?????????:* ?????? UA ??????????? ??????? ""????????""
*??????????? ?????????:* ??????????? ?????? UA ??????????? ??????? ""????????""",""
19601,??????,?????,??????????,"?????????? ??????????? UA ?? ???????? ""????????""",Sabina Vorotnikova,02/10/2023 04:51 AM,"*???? ???????????????:*
1) ??????? ??????? ???????? ????? https://qwertyshop.ua
2) ??????? UA ??????????? ?????
2) ?????? ?? ?????? ""????????"" ? ???????
3) ?????????? ?????? ?????????? UA ??????????? ???????? ""????????""

https://gyazo.com/1b01c317c562fc0ba51172599952fcab

*????????? ?????????:* ???????????? UA ??????????? ???????? ""?????????? ??????"" 
*??????????? ?????????:* ??????????? UA ??????????? ???????? ""?????????? ??????""
",""
19600,??????,?????,??????,?????????????? ???????? ?????? ????????? ?? ????? ,Sabina Vorotnikova,02/10/2023 04:39 AM,"*???? ???????????????:*
1) ??????? ??????? ???????? ????? https://qwertyshop.ua
2) ?????????? ???????? ? ?????
3) ?????????? ?????????????? ???????? ? ?????? ? ??????? ? ??????? ""????i? ??????""

https://gyazo.com/6fc8f1d1e97045395916ac24b44f4690

*????????? ?????????:* ?????????? ????? ??????? ?????? 
*??????????? ?????????:* ?????????????? ???????? ?????? ????????? ?? ????? ",""
19599,??????,?????,???????,?????????????? ???????? ??????????? ? ????????? ??????,Sabina Vorotnikova,02/10/2023 04:13 AM,"*???? ???????????????:*
1) ??????? ??????? ???????? ????? https://qwertyshop.ua/
2) ?????? ?? ?????? ""??? ???"" ? ???????
3) ?????????? ?????????????? ???????? 

https://gyazo.com/d0fbebb6e3f0618de4b65de602b7e71a

*????????? ?????????:* ??????????????? ??????? ?????????? ? ????????? ??????
*??????????? ?????????:* ?????????????? ???????? ??????????? ? ????????? ??????",""
19598,??????,?????,??????,?????????????? ?????? ? ???????? ????????????  ?????? ,Sabina Vorotnikova,02/10/2023 03:49 AM,"*???? ???????????????:*
1) ??????? ??????? ???????? ????? https://qwertyshop.ua/
2) ?????? ?? ????? ? ?????? ""??????""
3) ?????????? ?????????????? ?????? ? ???????? ???????????? ?????? ""?????? ????????? ?????????""

https://gyazo.com/07b5894104caf876dd7d44d759b61d7a

*????????? ?????????:* ???????????? ?????? ? ???????? ?????? ""?????? ????????? ?????????""


*??????????? ?????????:* ?????? ?? ????????????? ???????? ?????? ""?????? ????????? ?????????""
",""
19597,??????,?????,??????????,"? ?????????? ?????? ????? ???????? ??????,????????? ? ???????/?????????? ?? ????????? ""???? ??? ?????????"" ???????? ?? ??????? ?????.",Vladislava Vishnevska,02/10/2023 12:26 AM,"*???? ???????????????:*
1) ??????? ????
2) ??????? ???? ""?????????""
3)??????? ????????? ""???? ??? ?????????""
4)??????? ?????? ""??? ??????????"" ? ""??? ???????""

https://gyazo.com/51011c4b8fe4455e0be6619e613230da

https://gyazo.com/94baf2494a8a819e0006e5ac4e15bc55

*????????? ?????????:*  ? ?????????? ?????? ????? ???????? ??????,????????? ? ???????/?????????? ?? ????????? ""???? ??? ?????????"" ??? ?? ?? ???.?????.
*??????????? ?????????:*? ?????????? ?????? ????? ???????? ??????,????????? ? ???????/?????????? ?? ????????? ""???? ??? ?????????"" ???????? ?? ??????? ?????. ",""
19596,??????,?????,??????????,"? ?????????? ?????? ????? ???????? ?????? ?? ????????? ""??? ????????""  ???????? ?? ??????? ?????.",Vladislava Vishnevska,02/10/2023 12:17 AM,"*???? ???????????????:*
1) ??????? ????
2)??????? ?? ???.?????? ?????
3)??????? ????? ?? ????????? ""??? ????????""

https://gyazo.com/31a15de9218dd71b530d088ed6c812c0

*????????? ?????????:* ? ?????????? ?????? ????? ???????? ?????? ?? ????????? ""??? ????????"" ???????? ? ???????????? ? ??????? ?????. 
*??????????? ?????????:*? ?????????? ?????? ????? ???????? ?????? ?? ????????? ""??? ????????""  ???????? ?? ??????? ?????.",""
19595,??????,?????,??????????,"??????????? ??????? ?? ???????? ?????? ""??????"".",Anna Prokopets,02/10/2023 12:10 AM,"*???? ???????????????:*
1) ??????? ????.
2) ? ???????, ? ??????? ""??????? ??????"" ??????? ????????? ""??????""
3) ?? ???????? ""??????"" ? ????? ???? ?????? ????? ""??????"" ???????? ???. 

https://gyazo.com/20978f8bc36598c7431261150ab6b2ef

*????????? ?????????:* ???????????? ??????? ?? ???????? ?????? ""??????"". 
*??????????? ?????????:* ??????????? ??????? ?? ???????? ?????? ""??????"".",""
19594,??????,?????,??????????,? ?????????? ?????? ????? ??????? ??????? ???????? ?? ??????? ?????,Vladislava Vishnevska,02/10/2023 12:06 AM,"*???? ???????????????:*
1) ??????? ????
2) ???????? ?????? ????? ?? ??????????.
3)????????? ???????

https://gyazo.com/aa4d9b4a3878b302649ec9379f418f4f


*????????? ?????????:* ? ?????????? ?????? ????? ??????? ??????? ??? ?? ?? ???.?????.
*??????????? ????????? :* ? ?????????? ?????? ????? ??????? ??????? ???????? ?? ??????? ?????",""
19593,??????,?????,??????????,"? ?????????? ?????? ????? ?? ???????? ""?opup"" ,???????? ?? ??????? ?????.",Vladislava Vishnevska,02/09/2023 11:59 PM,"*???? ???????????????:*
1) ??????? ????
2) ?????? ?? Popup 

https://gyazo.com/0ed71f843be08812d22d2faa1314f9b3

*????????? ?????????:* ? ?????????? ?????? ????? ???????? ""?opup"" ?? ???.
*??????????? ?????????:* ? ?????????? ?????? ????? ?? ???????? ""?opup"" ,???????? ?? ??????? ?????.",""
19592,??????,?????,??????????,??????????? ?????????? ??????????? ??? ????????? ???????.,Anna Prokopets,02/09/2023 11:58 PM,"*???? ???????????????:*
1) ??????? ????.
2) ??????? ??? ?????? ??? ?????????, ?????? ?? ?????? ????????? ? ???????.
3) ??????????? ?????????? ??????????? ??? ????????? ???????.

https://gyazo.com/cbc6e572b1b2be800b913b27b169d3d6

*????????? ?????????:* ???????????? ?????????? ??????????? ??? ????????? ???????.
*??????????? ?????????:* ??????????? ?????????? ??????????? ??? ????????? ???????.",""
19591,??????,?????,??????????,"? ???????????? ""????????????? ?????"" ????? ????? ??????????? ???????? ????????????.",Anna Prokopets,02/09/2023 11:50 PM,"*???? ???????????????:*
1) ??????? ????.
2) ??????? ????????? ""??? ??? ???????????"" - ???????????? ""????????????? ?????""
3) ????? ????? ??????????? ???????? ???????????? ""????????????? ?????""

https://gyazo.com/47b5dcfce8cce74e1f031550628aac0b

*????????? ?????????:* ???????????? ???????? ???????????? ""????????????? ?????"".
*??????????? ?????????:* ? ???????????? ""????????????? ?????"" ????? ??????????? ???????? ????????????.",""
19590,??????,?????,???????,"??? ???????? ?? ???????? ????? ?????? ? ????????? ""?????? ?? ??????"" ?????????? ?????? ????? - ???? ?????? ???????????",Maksym Shymin,02/09/2023 11:46 PM,"*???? ???????????????:
1) ??????? ????*
2) ??????? ?? ?????????? ?????? ????? ??????? ?? ??????????????? ?????? ?????? ?? ????????? ??????
3) ?????????? ???? ?? ????????? ""?????? ?? ??????""
4) ??????? ?? ???????? ????? ?????? ??????? ?? ??????????????? ??????
5) ?????????

https://gyazo.com/2aebd50f6c8c15a741b3bd25b64aa776
https://gyazo.com/ca2e1a60d4cae129412f0071583548d3

*????????? ?????????:* ??? ???????? ?? ???????? ????? ?????? ? ????????? ""?????? ?? ??????"" ?????????? ?????? ????? - ???? ?????? ???????????
*??????????? ?????????:* ??? ???????? ?? ???????? ????? ?????? ? ????????? ""?????? ?? ??????"" ?????????? ?????? ????? - ???? ?????? ??????????? (? ?????????? ?????? ?????- ???? ???????????)",""
19589,??????,?????,??????????,"?? ????????? ?????? ""?????? ??????"" ? ??????",Vladislava Vishnevska,02/09/2023 11:42 PM,"*???? ???????????????:*
1) ??????? ????
2) ??????? ? ????? ""?????? ??????""

https://gyazo.com/10913f86be113572aadab7fdd85586f8


https://gyazo.com/93e2651131b23926a5660d4113faf9ba

*????????? ?????????:* ????????? ?????? ""?????? ??????"" ? ??????
*??????????? ?????????:* ?? ????????? ?????? ""?????? ??????"" ? ??????",""
19588,??????,?????,??????,"? ?????????? ?????? ????? ????????? ????????? ??????? ""????????? ???????"" ???????? ?? ??????? ?????",Maksym Shymin,02/09/2023 11:37 PM,"???? ???????????????:
1) ??????? ????
2) ??????? ?? ?????????? ?????? ????? ??????? ?? ??????????????? ?????? ?????? ?? ????????? ??????
3) ??????? ?? ???????? ????????? ?????? ????? ??????? ??????, ????????: ? ??????? ?????? ??????? ""?????????? ???????"" - ""????????""
4) ?? ????? ??????? ?????? ? ????????? ""????????? ???????"" ?????????? ???? ? ????????? ?????????, ????????: ""???????? ??????"", ""????????? ?????""

https://gyazo.com/6ef1eb560b53c0e136ba1b1b755edb17

????????? ?????????: ? ?????????? ?????? ????? ??? ???????? - ?? ?????????? ?????
??????????? ?????????: ? ?????????? ?????? ????? ????????? ????????? ??????? ""????????? ???????"" ???????? ?? ??????? ?????",""
19587,??????,?????,??????,"? ?????????? ?????? ????? ??????? ???????, ?????? ?? ??????? ??????, ???????? ?? ??????? ?????",Maksym Shymin,02/09/2023 11:26 PM,"*???? ???????????????:*
1) ??????? ????
2) ??????? ?? ?????????? ?????? ????? ??????? ?? ??????????????? ?????? ?????? ?? ????????? ??????
3) ????????? ??????? ??????? ?????? ?? ??????? ??????

https://gyazo.com/b94f7a4dc132b9ead7e899c7b4751fc4

*????????? ?????????:* ? ?????????? ?????? ????? ??? ???????? - ?? ?????????? ?????
*??????????? ?????????:* ? ?????????? ?????? ????? ??????? ??????? ???????? ?? ??????? ?????",""
19586,??????,?????,??????????,"? ?????????? ?????? ????? ??????? ""????"" ??? ???????? ???????? ?? ??????? ?????",Maksym Shymin,02/09/2023 11:21 PM,"*???? ???????????????:*
1) ??????? ????
2) ??????? ?? ?????????? ?????? ????? ??????? ?? ??????????????? ?????? ?????? ?? ????????? ??????
3) ?????? ?? ?????? ""????"" ? ?????? ????????

https://gyazo.com/f893782906f43611a00c3d0552ec7d60

*????????? ?????????:*  ? ?????????? ?????? ????? ??? ???????? - ?? ?????????? ?????
*??????????? ?????????:* ? ?????????? ?????? ????? ??????? ""????"" ??? ???????? ???????? ?? ??????? ?????",""
19585,??????,?????,??????????,"????? ??????? ?? ?????? ""????? ?????"" ? ?????? ????????? ???????, ???????????? ???????? ?????? ?? ?????????? ?????",Maksym Shymin,02/09/2023 11:14 PM,"*???? ???????????????:*
1) ??????? ????
2) ?????? ?? ?????? ""????? ?????"" ????????? ??????
3) ????????? ?????????? ??????

https://gyazo.com/9c5c537036b098b03c29cec5c89c6452

*????????? ?????????:* ????? ??????? ?? ?????? ""????? ?????"" ? ?????? ????????? ???????, ???????????? ???????? ?????? ??? ????????? ?? ??????? ????? ?????
*??????????? ?????????:* ????? ??????? ?? ?????? ""????? ?????"" ? ?????? ????????? ???????, ???????????? ???????? ?????? ?? ?????????? ?????",""
19584,??????,?????,??????????,"? ?????????? ?????? ????? ??????? ""???????"" ??? ???????? ???????? ?? ??????? ?????",Maksym Shymin,02/09/2023 11:04 PM,"*???? ???????????????:*
1) ??????? ????
2) ??????? ?? ?????????? ?????? ????? ?? ?????? ? ?????? ????????
3) ??????? ??????? ""???????"" ????? ?? ??????????????? ?????? ?????? ?? ????????? ??????

https://gyazo.com/7fbf297fe97fb675940a28145d9e45c4

*????????? ?????????:* ? ?????????? ?????? ????? ??? ???????? - ?? ?????????? ?????
*??????????? ?????????:* ? ?????????? ?????? ????? ??????? ""???????"" ??? ???????? ???????? ?? ??????? ?????",""
19583,??????,?????,??????,"?????? ???????? : ""?????? ????????? ?????????"" ? ""?????? ? ??????????? ???????? ???????"" ? ???????? ?????????? ?? ???????? ""??????"" ?????????? ???? ? ?????? ",Maksym Shymin,02/09/2023 10:52 PM,"*???? ???????????????:*
1) ??????? ????
2) ??????? ?? ?????? ""??????"" ? ?????? ????????
3) ?? ???????? ""????????? ????? Qwertyshop"" ????????? ?????? ???????? : ""?????? ????????? ?????????"" ? ""?????? ? ??????????? ???????? ???????""

https://gyazo.com/dba094b54eddf3191a66c5e7b3d751a6

*????????? ?????????:* ?????? ???????? : ""?????? ????????? ?????????"" ? ""?????? ? ??????????? ???????? ???????"" ? ???????? ?????????? ?? ???????? ""??????"" ????????? ?? ?????????????? ?????? 
*??????????? ?????????:* ?????? ???????? : ""?????? ????????? ?????????"" ? ""?????? ? ??????????? ???????? ???????"" ? ???????? ?????????? ?? ???????? ""??????"" ?????????? ???? ? ?????? ",""
19582,??????,?????,???????,"????????? ????? ??????? ?? ???????? ""????????"".",Maksym Shymin,02/09/2023 10:36 PM,"*???? ???????????????:*
1) ??????? ????
2) ??????? ?? ???????? ""????????"" ?? ?????? ? ?????? ????????
3) ?????????? ???? ?? ???? ""????? ??????? ???????? ?? ???????? ""????????""""
4) ??????? ?? ???????? ""????????"", ????? ?? ?????? ""????????"" ? ??????????? ??? ? ?????? ????????.
5) ????????? ??????? ????? ?? ???????? ""????????""

?????
https://gyazo.com/3ba7d4f75c1c16eca41650028c25610b

???????? ""????????""
https://gyazo.com/7712c8021de54f572f4559973cfbc428

*????????? ?????????:* ???? ?? ?????? ?? ???????? ???????? - ?? ???????? ???????? ?????? ???????????? ""????? ???????"".
*??????????? ?????????:* ????????? ????? ??????? ?? ???????? ""????????"".",""
19581,??????,?????,??????????,"????????? ?????? ? ??????? ""?????????? ??????????"", ?? ?????? ????? ? ?? ?????? ????? - ?? ?????????.",Maksym Shymin,02/09/2023 10:26 PM,"*???? ???????????????:*
1) ??????? ????
2) ????????? ????????? ?????? ? ?????? ????? ? ? ?????? ?????
3) ??????? ?? ???????? ""????????"" ?? ?????? ? ?????? ????????
4) ????????? ????????? ?????? ? ??????? ""?????????? ??????????""

?????? ? ??????
https://gyazo.com/44acd6cabcbf72e038c8711a59511a34

?????? ? ??????
https://gyazo.com/9fe7e9be728faaf82dd401200888c255

?????? ?? ???????? ""????????""
https://gyazo.com/11d2aa8f5cf749376a11e7c1db08deb2

*????????? ?????????:* ????????? ?????? ? ??????? ""?????????? ??????????"", ?? ?????? ????? ? ?? ?????? ????? ?????????.
*??????????? ?????????:* ????????? ?????? ? ??????? ""?????????? ??????????"", ?? ?????? ????? ? ?? ?????? ????? ?? ?????????.",""
19580,??????,?????,??????,"?? ???????????? ?????? ""????? ???? "" ? ?????? ???????? ? ????????? ????????? ???????? ""?????""",Maksym Shymin,02/09/2023 10:17 PM,"1) ??????? ????
2) ?????? ?? ""????? ????"" ? ?????? ????????
3) ????????? ???????? ???????? ? ??????? ?????? ? ??????? ? ??????

https://gyazo.com/8a7da37e62bd830bee10369080069e47

????????? ?????????: ????? ???????? ?? ?????? ""????? ????"" ? ?????? ???????? ???????????? ???????? ?? ???????? ""????? ????""
??????????? ?????????: ????? ???????? ?? ?????? ""????? ????"" ? ?????? ???????? ???????????? ???????? ?? ???????? ""?????""",""
19579,??????,?????,??????,"???????? ?????????? ??????? ""???????????? ???????? Porsche"" ? ??????",Nina Draganova,02/09/2023 08:38 PM,"*???? ???????????????:*

1) ??????? ????
2) ??????? ? ?????

*????????? ?????????:* ?????????? ??????? ""???????????? ???????? Porsche"" ? ??????
*??????????? ?????????:* ?????????? ?????????? ??????? ""???????????? ???????? Porsche"" ? ?????? ",""
19578,??????,?????,???????,????????????? ????? ????? ??? ??????????? ? ???? ?????,????????? ?????????,02/09/2023 08:38 PM,"*????*:
1.??????? ?? ????  https://www.smart-shop.ua
2. ???????????
3. ? ?????? ????? ??????????? ????? 
4. ?????? ????? ??. ????? ???????? ???????
 
*????????? ?????????*:
????????????? ?????? ?????
*??????????? ?????????*
????? ?????? ????? ??. ????? Gmail.Com ??????? ??? ?????",""
19577,??????,?????,??????????,"?? ???????????? ??????? ""?????????????? ?? ?????? --?????""",???????  ??????? ,02/09/2023 08:36 PM,"*???? ???????????????:*
1) ????? ?? ???? https://smart-shop.ua/ru/originalyniy-gorodskoy-elektrosamokat-bmw-e-scooter-my2020.html
2) ??????? ? ?????? : ""?????????????? ?? ?????? --?????""
3)https://gyazo.com/2302ddb12fb3d866fef09f186ef6378f
*????????? ?????????:* ???????????? ??????? ""?????????????? ?? ?????? --?????""
**??????????? ?????????*  :?? ???????????? ??????? ""?????????????? ?? ?????? --?????""",""
19576,??????,?????,??????????,"?? ??????????? ?????? ? ??????? ""???????? ?????????????????? ...""",Vladislava Vishnevska,02/09/2023 08:35 PM,"*???? ???????????????:*
1) ??????? ????
2) ??????? ? ""???????? ??????????????????...""

https://gyazo.com/a5ed5bb76b0df0e4278a92cdb0256274

*????????? ?????????:* ??????????? ?????? ? ??????? ""???????? ?????????????????? ...""
*??????????? ?????????:* ?? ??????????? ?????? ? ??????? ""???????? ?????????????????? ...""


",""
19575,??????,?????,??????,"??????????? UA ??????????? ? ??????? ""??????"" ????????? ""Mini""",Anastasiya Lopatovskaya,02/09/2023 08:35 PM,"???? ???????????????:
1) ???????: https://smart-shop.ua/mini.html
2) ?????? ???? ?? UA
3) ???????? ?? ?????? ""?????"" ????????? ""Mini""

https://gyazo.com/884030216447a2cff30f5a9b5d5bade2

????????? ????????? : UA ??????????? ??????????? ??????? ""?????"" ????????? ""Mini""
??????????? ????????? : ?????????? UA ??????????? ??????????? ??????? ""?????"" ????????? ""Mini""",""
19574,??????,?????,??????????,"??????????? ????? ???? ""???????????/???????????"" ????? ???????????.",Anna Prokopets,02/09/2023 08:34 PM,"*???? ???????????????:*
1) ??????? ????
2) ??????????????.
3) ?????? ?? ?????? ???????????/??????????? ? ?????? ??????.
4) ?? ???????????? ????? ???? ""???????????/???????????"".

https://gyazo.com/af38b848e571da1eb72accfa43eff878

*????????? ?????????:* ????????????/????? ????? ???? ""???????????/???????????"" ????? ???????????.
*??????????? ?????????:* ??????????? ????? ???? ""???????????/???????????"" ????? ???????????.",""
19573,??????,?????,??????????,"?????????? ???????? ? ???????""???????""","",02/09/2023 08:33 PM,"???? ???????????????:

1 ??????? ????
2 ????? ? ?????? ""???????""


????????? ?????????: ??????????? ???????? ? ??????????? ???????
??????????? ?????????: ????????? ???????? ""???????""",""
19572,??????,?????,??????????,?? ?????????? ???????? ? ?????? ????????,Vladislava Vishnevska,02/09/2023 08:32 PM,"*???? ???????????????:*
1) ??????? ????
2) ??????? ? ?????


*????????? ?????????:* ?????????? ???????? ? ?????? ????????
*??????????? ?????????:* ?? ?????????? ???????? ? ?????? ????????",""
19571,??????,?????,??????,??? ????? ??????????? ??????? ??????????? UA ??????????? ,?????? ???????,02/09/2023 08:31 PM,"*???? ???????????????:*
1) ??????? ???? https://smart-shop.ua/
2) ??????? ????? ????????? ???????
3) ??? ????? ????? ??????????? ???????  https://gyazo.com/c5d12169c03aabdfa7146ff7c1d894f5
4) ??????????? UA ??????????? ?????????? https://gyazo.com/a831e2601d146ea48d3e19b925234f2d

*????????? ?????????:* ???????????? UA ??????????? ??????????
*??????????? ?????????:* ??????????? UA ??????????? ??????????",""
19570,??????,?????,??????????,? Header ??? ????????? ??????? ?? ?????? ????????? ? ????????? ??????????? ????????? Tooltip,Vitaliy Sudayev,02/09/2023 08:31 PM,"???? ???????????????:
1)??????? ????
2)??????? ?????? ?? ??????


????????? ?????????:
??????????? ?????????:  ? Header ??? ????????? ??????? ?? ?????? ????????? ? ????????? ??????????? ????????? Tooltip",""
19569,??????,?????,??????????,"??????????? ???????? ""?????? ?? ???????"" ????? ??????????? ????????????.",Anna Prokopets,02/09/2023 08:30 PM,"*???? ???????????????:*
1) ??????? ????
2) ??????????????.
3) ??????? ? ????? ???????? ???? ?????? ""?????? ???????""
4) ?????? ""??? ??????"" - ??????????? ???????? ""?????? ?? ???????""

https://gyazo.com/fb62352c3a396507b67b00bdb2607883

*????????? ?????????:* ???????????? ???????? ""?????? ?? ???????"" ????? ???????????.
*??????????? ?????????:* ??????????? ???????? ""?????? ?? ???????"" ????? ??????????? ????????????.",""
19568,??????,?????,???????,"???????????  ???????? ??? ???????? ?? ?????? ""?????? ?????? ??????24 - ???????? >>>"", ? ??????? ""????????? ??????? ??????""",??????? ????????,02/09/2023 08:30 PM,"*???? ???????????????:*
1)??????? ????
2)? ?????? ??????? ?? ?????? ""???????? ? ??????""
https://gyazo.com/82e16ce9c38081466157422175c68009
https://smart-shop.ua/privat24
*????????? ?????????:*??????????? ???????? ??? ???????? ?? ?????? ""?????? ?????? ??????24 - ???????? >>>"", ? ??????? ""????????? ??????? ??????""
*??????????? ?????????:*???????????  ???????? ??? ???????? ?? ?????? ""?????? ?????? ??????24 - ???????? >>>"", ? ??????? ""????????? ??????? ??????""",""
19567,??????,?????,??????????,"?? ???????????? ????????? ????????????? ???????? ? ????? ? ?????? ??????? ""???????? - ???????????? - MINI""",Maksym Shymin,02/09/2023 08:29 PM,"*???? ???????????????:*
1) ??????? ????
2) ?? ???????? ???? ""????????"" ??????? ????? ""????????????""
3) ? ???????? ??????? ""????? ????"" - ""MINI""
4) ????????? ?????????
5) ????????? ?? ???????? ""????????"" - ""????????????""
6) ?? ????? ??? ???????? ??????? ?????? ??????? ""MINI""
7) ????????? ?????????

????????? ? ???????
https://gyazo.com/8fbfe841c197b0967f39021633f5858f

????????? ? ????
https://gyazo.com/fae3eabb623ef35c1e4bb35bbe2b42b2

*????????? ?????????:* ??? ????????????? ???????? ? ????? ? ?????? ??????? ""???????? - ???????????? - MINI"" ? ????? ????????? ?????? ???? ?????????? ?????????
*??????????? ?????????:* ??? ????????????? ???????? ? ????? ? ?????? ??????? ""???????? - ???????????? - MINI""  ?????????? ?? ?????????",""
19566,??????,?????,??????????,"?? ??????????? ?????? ""??????????"" ?? ???????? ""??????????? ????????? ????????-????"" ?? ???.??????",Vladislava Vishnevska,02/09/2023 08:28 PM,"
*???? ???????????????:*
1) ??????? ????
2)??????? ?? ???.??????
3)??????? ?? ??????? ""??????????? ????????? ????????-???? ""
4) ?????? ?? ?????? ""??????????""

https://gyazo.com/c86231f081b8424f4225e451fd8c5dd8

*????????? ?????????:*   ??????????? ?????? ""??????????"" ?? ???????? ""??????????? ????????? ????????-????"" ?? ???.??????
*??????????? ?????????:*  ?? ??????????? ?????? ""??????????"" ?? ???????? ""??????????? ????????? ????????-????"" ?? ???.??????",""
19565,??????,?????,??????????,"???????????? ?????? ??????? ""?????????""",Anastasiya Lopatovskaya,02/09/2023 08:25 PM,"???? ??????????????? :

1) ??????? ????: https://smart-shop.ua/dostavka-i-oplata.html
2) ???????? ??????? ? ??????? ""??? ?????""
3) ????????? ??????? ""???????""
4) ???????? ????? ""??????????? ?????????? Audi e-tron GT Pullback Kyalami Green, Scale 1:38""
5) ????????? ????? ? ?????????
6) ????????? ? ??????? ""?????????"" ? ???????

https://gyazo.com/45740d2acd4221cb9e45e3a016921153

*????????? ?????????* : ??????????? ?????????? ?????? ? ??????? ""?????????""
*??????????? ?????????*  : ???????????? ?????? ??????? ""?????????"", ??????????? ""???????????"" ",""
19564,??????,?????,??????????,"???????????? ??????????? ?????????? ""?????"" ? ??????? ""???????????? ? ????""",Nina Draganova,02/09/2023 08:25 PM,"*???? ???????????????:*

1) ??????? ????
2) ?????? ""???????????? ? ????""
3) ????????? ""?????"" ???????????? ?????????? ???????????

https://gyazo.com/b257c5cc743d8c48e1c21b1d8b9c6837

*????????? ?????????:* ????????? ??????????? ?????????? ""?????"" ? ??????? ""???????????? ? ????""

*??????????? ?????????:* ???????????? ??????????? ?????????? ""?????"" ? ??????? ""???????????? ? ????""


",""
19563,??????,?????,??????????,"??????????? ???????? ""??????????""  ?? ???????? ""????????? ??????"" ?? ???.??????",Vladislava Vishnevska,02/09/2023 08:24 PM,"*???? ???????????????:*
1) ??????? ????
2)??????? ?? ???.??????
3)??????? ?? ??????? ""????????? ??????""
4) ?????? ?? ""??????????""

https://gyazo.com/3f94eec08ff632937087a1b33964b38c

*????????? ?????????:*  ????????????  ???????? ""??????????""  ?? ???????? ""????????? ??????"" ?? ???.??????
*??????????? ?????????:* ??????????? ???????? ""??????????""  ?? ???????? ""????????? ??????"" ?? ???.??????

",""
19562,??????,?????,??????????,?? ??????? ???????? ??? ???????? ?? ?????? ?? ????????,Sabina Vorotnikova,02/09/2023 08:24 PM,"*???? ???????????????:*
1) ??????? ???? https://smart-shop.ua/
2) ?????? ?? ?????? ""???????i??"" ? ???????? ""????????i ?????i""
3) ?????????? ""?????????? ???????? ?? ????????!""


*????????? ?????????:*  ???????? ?????????? ??? ?????? ????? ???????? ?? ??????
*??????????? ?????????:* ?? ??????? ???????? ??? ???????? ?? ?????? ?? ????????",""
19561,??????,?????,??????????,"??????????? ???????? ""????????????? ????????"" ????? ??????????? ????????????.",Anna Prokopets,02/09/2023 08:24 PM,"*???? ???????????????:*
1) ??????? ????
2) ??????????????.
3) ??????? ? ????? ???????? ???? ?????? ""?????? ???????""
4) ?????? ""????????"" - ??????????? ???????? ""????????????? ????????""

https://gyazo.com/02493776f1e86b3217e9c1df2c6c82da

*????????? ?????????:* ???????????? ???????? ""????????????? ????????"" ????? ???????????.
*??????????? ?????????:* ??????????? ???????? ""????????????? ????????"" ????? ??????????? ????????????.
",""
19560,??????,?????,??????,???????????. ??????????? ??????? ?? ???? ??????????? ???,"",02/09/2023 08:21 PM,"*????*:
1.??????? ?? ????  https://www.smart-shop.ua
2. ????????? ?? ?????????? ???????????
3. ? ?????? ?????? ???? ""?????????"" 
4.????????? ? ??????????? ?????? 
5. ????? ""???????? ?? ?????? ??? ????? ??? ????????? BMW Sheepskin Wash & Polish Mit"" 



*????????? ?????????*:
 ???????? ?????? ?? ????? ???????? ????????? ???????????
???????? ? ?????? ??? ????? ??? ??????????? BMW Sheepskin Wash & Polish Mit
*??????????? ?????????*
???????? ?? ?????? ??? ????? ??? ????????? BMW Sheepskin Wash & Polish Mit",""
19559,??????,?????,??????,"?????????? UA ??????????? ? ??????? "" ?????'e? -??????? """,???????  ??????? ,02/09/2023 08:19 PM,"*???? ???????????????:*
1) ????? ?? ???? https://smart-shop.ua/ru/originalyniy-gorodskoy-elektrosamokat-bmw-e-scooter-my2020.html
2) ??????? ? ?????? : "" ?????'e? -??????? ""
3) https://gyazo.com/424fdcd185fdfcd22c026c9f4d3e0698
*????????? ?????????:*  ??????????? UA ??????????? ? ??????? "" ?????'e? -??????? ""
*??????????? ????????? :* ?????????? UA ??????????? ? ??????? "" ?????'e? -??????? """,""
19558,??????,?????,??????????,"???????? ???????? ?????? ? ????????? ??????? ""?????"" ?? ???. ?????????? ",Natali Rudich,02/09/2023 08:18 PM,"???? ?????????????
1 ??????? ???? 
1 ????????? ? ?????????  ""?????????????? ?? ?????? - ?????""


*????????? ?????????* ???? ????????? ?? ?????????? ?????
*??????????? ?????????* ???????? ???????? ??????? ?? ??????? ???????? ?? ?????????? ",""
